device0037456,adunit06,6,0.24
device0001163,adunit07,2,0.26
device0042868,adunit05,0,0.49
device0023297,adunit03,0,0.75
device0020099,adunit05,0,0.56
device0039615,adunit10,2,0.28
device0022246,adunit03,9,0.53
device0029912,adunit03,7,0.95
device0029223,adunit06,5,0.04
device0048980,adunit01,7,0.76
device0041572,adunit01,4,0.52
device0045774,adunit04,0,0.59
device0021921,adunit04,7,0.67
device0008119,adunit02,9,0.95
device0039824,adunit01,6,0.37
device0016029,adunit09,10,0.98
device0019752,adunit02,5,0.69
device0009917,adunit05,7,0.31
device0031408,adunit08,0,0.48
device0015279,adunit03,10,0.45
device0016775,adunit01,6,0.79
device0044949,adunit07,1,0.84
device0044869,adunit04,8,0.46
device0035865,adunit03,2,0.39
device0041925,adunit07,6,0.23
device0029413,adunit09,3,0.95
device0015180,adunit07,9,0.22
device0022968,adunit06,5,0.10
device0035836,adunit03,2,0.90
device0023201,adunit05,7,0.08
device0038001,adunit08,3,0.70
device0032211,adunit08,10,0.19
device0027478,adunit09,3,0.67
device0032529,adunit05,0,0.43
device0001316,adunit02,8,0.31
device0022805,adunit10,7,0.30
device0021357,adunit02,7,0.48
device0023543,adunit08,6,0.12
device0021824,adunit06,1,0.87
device0022682,adunit09,3,0.50
device0049288,adunit01,8,0.08
device0012197,adunit04,4,0.54
device0022143,adunit09,4,0.97
device0033176,adunit01,2,0.58
device0027883,adunit06,9,0.82
device0000205,adunit07,7,0.30
device0049781,adunit07,0,0.26
device0006172,adunit02,5,0.02
device0016701,adunit02,1,0.02
device0008961,adunit09,4,0.07
device0002901,adunit06,5,0.96
device0045647,adunit05,6,0.16
device0048338,adunit05,2,0.54
device0011762,adunit09,6,0.69
device0009225,adunit05,1,0.43
device0006198,adunit07,3,0.64
device0027112,adunit02,1,0.37
device0045078,adunit05,8,0.24
device0043865,adunit01,10,0.62
device0019775,adunit10,10,0.82
device0015019,adunit02,0,0.99
device0034122,adunit03,7,0.59
device0048919,adunit02,2,0.56
device0006999,adunit09,7,0.18
device0011363,adunit08,7,0.50
device0000038,adunit01,9,0.16
device0031323,adunit06,9,0.47
device0025343,adunit09,1,0.73
device0016398,adunit05,10,0.01
device0022533,adunit03,6,0.95
device0027157,adunit02,4,0.34
device0049930,adunit06,5,0.80
device0028400,adunit10,7,0.66
device0020636,adunit03,0,0.04
device0016596,adunit04,5,0.49
device0027116,adunit07,2,0.84
device0024715,adunit03,4,0.49
device0006683,adunit09,5,0.59
device0001416,adunit04,10,0.42
device0041436,adunit08,0,0.23
device0028375,adunit03,0,0.62
device0030996,adunit01,2,0.75
device0026161,adunit01,9,0.51
device0042626,adunit10,0,0.89
device0028283,adunit09,6,0.82
device0038151,adunit02,1,0.95
device0030997,adunit06,2,0.50
device0023489,adunit06,10,0.18
device0007254,adunit03,4,0.66
device0029579,adunit06,10,0.98
device0025226,adunit02,1,0.55
device0037032,adunit05,2,0.63
device0026221,adunit09,2,0.90
device0000866,adunit05,0,0.64
device0004027,adunit05,0,0.07
device0010856,adunit07,8,0.07
device0045187,adunit01,5,0.65
device0016715,adunit09,8,0.54
device0011755,adunit03,0,0.68
device0006490,adunit10,10,0.08
device0029798,adunit06,10,0.91
device0015923,adunit03,10,0.83
device0033766,adunit02,6,0.64
device0048481,adunit05,6,0.12
device0015000,adunit06,7,0.01
